Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
03008 Alcoleja,51.7,192.0,36.1,33.9,94.8,12.0,2.2,18433.0,18550.0,30453.0,13753.0,26891.0,12144.0,2.4,24.6
03009 Alcoi/Alcoy,44.4,58953.0,31.9,21.4,91.2,16.1,2.4,18496.0,16450.0,35803.0,15018.0,29985.0,12577.0,2.5,29.4
03010 Alfafara,48.1,419.0,34.6,25.1,94.3,12.4,2.3,18888.0,17150.0,35709.0,15152.0,30521.0,12950.0,2.2,26.9
"03011 Alfàs del Pi, l'",47.2,20281.0,29.4,26.6,49.5,14.4,2.5,16957.0,15050.0,34186.0,12834.0,28392.0,10659.0,3.3,35.4
03012 Algorfa,51.0,3684.0,28.2,34.2,40.1,12.7,2.2,14646.0,13650.0,24685.0,10707.0,21404.0,9284.0,2.8,32.4
03013 Algueña,46.5,1386.0,28.8,25.8,89.4,16.8,2.4,15049.0,14350.0,28354.0,11569.0,24922.0,10169.0,2.7,29.7
03014 Alacant/Alicante,43.2,346780.0,30.5,19.5,82.4,17.1,2.5,19186.0,16450.0,39961.0,15698.0,32439.0,12743.0,3.4,35.9
03015 Almoradí,39.6,21607.0,25.1,15.1,75.2,21.9,2.8,14450.0,12950.0,30395.0,10948.0,26030.0,9376.0,3.1,32.7
03016 Almudaina,54.5,111.0,45.5,39.6,84.7,6.3,2.0,19090.0,17850.0,33941.0,16162.0,29497.0,14046.0,2.5,29.0
"03017 Alqueria d'Asnar, l'",42.5,509.0,22.9,14.2,94.3,14.2,2.5,19247.0,19250.0,38230.0,15033.0,32324.0,12710.0,2.0,24.5
03018 Altea,45.3,23722.0,30.6,21.9,62.8,15.1,2.5,17894.0,15050.0,35633.0,13895.0,29385.0,11459.0,2.8,34.1
03019 Aspe,41.7,21370.0,25.7,17.6,92.2,19.5,2.6,15955.0,14350.0,32198.0,12230.0,27589.0,10479.0,2.3,28.7
03020 Balones,54.1,121.0,46.8,34.7,86.0,6.6,1.9,18972.0,17150.0,31203.0,15861.0,26732.0,13589.0,2.4,27.8
03021 Banyeres de Mariola,43.8,7199.0,28.5,21.1,92.0,17.3,2.5,19953.0,17150.0,41121.0,16098.0,33154.0,12979.0,2.1,26.8
03022 Benasau,54.0,173.0,30.8,38.2,96.0,11.0,2.2,22931.0,19250.0,42579.0,19198.0,35724.0,16107.0,2.0,28.7
03023 Beneixama,46.6,1704.0,32.0,25.1,93.2,15.6,2.4,19566.0,17850.0,38192.0,15679.0,32136.0,13192.0,2.4,27.4
03024 Benejúzar,42.3,5547.0,23.4,18.3,85.3,18.0,2.8,15258.0,13650.0,31802.0,11349.0,27628.0,9859.0,2.4,29.0
03025 Benferri,41.8,2016.0,26.7,17.6,86.3,20.0,2.6,16278.0,15050.0,33056.0,12469.0,28211.0,10642.0,2.3,26.9
03026 Beniarbeig,43.8,2353.0,28.3,21.2,76.6,17.4,2.5,17783.0,15750.0,34450.0,13805.0,28843.0,11557.0,2.4,29.5
03027 Beniardà,50.1,254.0,30.2,30.3,84.7,11.8,2.4,18541.0,18550.0,36310.0,14994.0,30755.0,12700.0,3.3,31.6
